time,username,message
55,eonzrlfn,jynxzi join my game i have 2kd
56,kittyonpink,send me sowmthing
56,gtabroooooooo,1v1 me
56,katchdeezzhandzz,late
56,riyapops,hola
56,boynoy215,late
56,Intoxicxting,YOU ARE LATE FATTY
56,jking_9996,documents
56,TyMarl3y,Let’s goooo
57,notluklol,lateee
57,tmoney726,let’s go
57,shi_daio,nope
57,caden220044,7
57,JlyfeZ,LATEEE
57,mike412345,late
57,will_a72,MBAPPEEEEEE
57,junkosdih,ate
57,krhdakilla,yo esp
57,Bramss_off,jynxziGLASSES jynxziGLASSES jynxziGLASSES jynxziGLASSES jynxziGLASSES jynxziGLASSES jynxziGLASSES jynxziGLASSES
58,lando_to_geeked,l
58,kerbot34,jynxziFAT jynxziFAT jynxziFAT jynxziFAT jynxziFAT jynxziFAT jynxziFAT jynxziFAT jynxziFAT jynxziFAT jynxziFAT jynxziFAT jynxziFAT jynxziFAT
58,lillixm13,WAYYYYYY TO LATE
58,teks_tech,OKG
58,cailebonx1m,l ads
58,Sweat2425,10k????
58,jking_9996,he
58,xxdeadsavge,buy me a house
58,boynoy215,lateeeee
58,iason2406,We love you
58,swift_Gaming44,LETS GOOOO
58,junkosdih,late
58,leon_wesh_,thats insane bro tf
59,clipzee111,early
59,gpig60606,wwwwww
59,jackrupp27,YOOO
59,0D4CHI_BL4DE,THRONE OF LÍES
59,caden220044,77
59,R33nal,LATE
59,katchdeezzhandzz,lateee
59,tnl_aesthetic1,HELLO RYAN
59,ImNotRuta,YOOOOOOOOOOOOOOOOO
59,riyapops,huiiii
59,hazcyrmu7,Late
59,jls1126,only 20 items per day
59,jking_9996,hh
60,Raioyz_,ReddNiteRyz subscribed at Tier 1. They've subscribed for 6 months! 
60,boynoy215,later
60,mochiene,w
60,qcdam09,"qcdam09 subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! lateeeeee"
60,IkerVentura7,barahhh
60,pwhite1502,early
61,tyson_muktus,777777777777777
61,spex_aim1,late
61,oneup_2,Buy my charm
61,mousetraqqed,L ads you fat neck loser
61,youbeezy1,WWWW
61,f66ley,20 limit a day u robot
61,bouncy_bee0294,wwww
61,snomo1010,late
61,blastcheek,BROKE BOY
61,caden220044,77777
61,platformin,77 ads
61,brendanxx7,LATE
61,ssdump01,PART TIMER
61,Ludde969,late
61,Nightbot,h
62,kyptenqt,7
62,Kenpachi_TMK,L ad
62,teks_tech,OMG
62,babyoilgavin,late fatty
62,aminempr,yo
62,IncrediBowJay,77
62,trevor833773,snapiySlayer snapiySlayer snapiySlayer snapiyYMAD
62,Itz_Bran,LOSER
62,tommothepope,tommothepope subscribed at Tier 1. They've subscribed for 16 months! 
62,bouncy_bee0294,w
62,ikshmael,wtf
62,kseats,YESS FINALLY
63,boosii_2f,JUNKIIIEEEEEE
63,playlxalex,Your late princess
63,boynoy215,lateee
63,faze_ngb2000,watch the game Madrid vs arsenal
63,crazyghost3767,JYX
64,mloones,nah
64,ImNotRuta,WWWWW JUKO
64,ohjay1999,LATE LATE
64,riiovaz,baaaaalriight
64,ssdump01,7
64,trevor833773,snapiyYMAD snapiyYMAD snapiyYMAD
64,aurap11,hii
64,christianwarzoneking,1v1me pussy
64,lando_to_geeked,L ads
64,giuseppe8175,jynxziSNOT jynxziSNOT jynxziSNOT
64,Nightbot,BOOOOOOOOOOOOOO
64,bigdaddycole1142,wassup KING
64,0D4CHI_BL4DE,THROWN OF LIES
64,cailebonx1m,7
64,susgod7,LATE
65,Wgramm,L adds
65,caden220044,fatty
65,zepyqq,BUY SPELLBOUNF
65,Jiqzaw,"Jiqzaw subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! jynxziSubHype"
65,IkerVentura7,77
65,kseats,GOOODD BOYYT
65,mheemna,Real Losing🫵😂😂
65,fdafasfasfasfa,IM EARLY
65,jking1211,gift me bitch
65,R33nal,EARLY GANG
65,tyson_muktus,)/!.!.!.!
65,Nightbot,real
65,balafasantone9,The fuck?????
65,Nightbot,gifting you luck in finding a job 🙏🏻
65,luca112906,LATE
66,airdraxy,late
66,gtrthtutone,hey’
66,isaac_on_xim,hi
66,xcrlaser,late
66,bouncy_bee0294,ew
66,IncrediBowJay,7
66,nuhuhfab_,77
66,joshszram,Wwwwwww
67,ibroprufen,late
67,brendanxx7,L ADS L LATE
67,juxhij,Wwwww
67,kellen77777777,LAYE
67,yosuperioryoshi,yosuperioryoshi subscribed with Prime. They've subscribed for 9 months! YOOO jynzxi much love bro
67,kimle_420,yuhhhhhhhh
67,w7rrior,FUCKING ADS
67,hunger_man69,bad aim
67,IkerVentura7,777
67,nickalphamale12,bariggttt
67,orrin12346,orrin12346 subscribed at Tier 1. They've subscribed for 20 months! 
68,trevor833773,snapiyYDUTY snapiyYDUTY
68,saceric4l,late#
68,legendary_wish,lateeeeee
68,swngbyclipz,nAHHAHHAHHAHAHHAHAHAHAHHAHAHAHHAHAHAHHAHAHHAHAHHA
68,ikshmael,!title
68,Cuhjesus,www rich boy
68,JlyfeZ,LATE
68,brrny4611,late
69,Fossabot,@ikshmael Title for Jynxzi: [106/365] 💵 Spending $10K on R6 Skins 💵 REAL vs ARSENAL REACTION -> TOXIC 1v1s -> JYNXZI vs RICCI FIFA -> RANKED 💰
69,babyoilgavin,7
69,Nightbot,@ikshmael -> Nightbot was unable to authenticate with Twitch's API. The channel owner may need to fully log out and back in at https://nightbot.tv to fix this.
69,Covnyi,RaccAttack
69,evan12347373615,everyone type four
69,legandaryboi128,fattie kate
69,2015VWGolf,L WEIRDO
69,trevor833773,snapiyYN1Champ snapiyYN1Champ snapiyYN1Champ
69,arranac,SPOIT STEALING YOUR GIRL
69,cailebonx1m,8
69,bouncy_bee0294,wwwwwww
69,nffcdaisy14,WWW
69,joshszram,wwwwwwwwwww
69,tjfirminho,bsh
69,kellen77777777,LATE
70,Smirkkx,watching Real Madrid downfall
70,nolimitche11,"nolimitche11 subscribed at Tier 1. They've subscribed for 21 months, currently on a 14 month streak! "
70,w7rrior,FUCK YOU ADS
70,trevor833773,snapiyYN1Champ
70,nuhuhfab_,⁷
70,Toshiro_Pain,Late
70,strykercholo1,"strykercholo1 subscribed with Prime. They've subscribed for 10 months, currently on a 2 month streak! 10 months"
70,najdoy,MILLIONAIRE
70,Frozzie000,yo
71,kellen77777777,LAYE
71,prabhgoat7,FATTY
71,JlyfeZ,LATEE
71,fnlbobby,late
71,ibroprufen,pate
71,OchoSpoony,shhhhh
71,trevor833773,snapiyYN1Champ snapiyYN1Champ snapiyYN1Champ
71,Azura3L,yo
71,itzdan93,LATE
71,zepyqq,BUYYYY SPELLLLLBOUNDDDDDDDD
71,katchdeezzhandzz,lateeeee
71,mheemna,Reall losing
71,joshszram,wwwwwwwww
71,susgod7,late
72,Thebigbruhtwitch,late
72,imdezz123,ur late
72,savagemama2007,7
72,hunterxray24,praise Christ
72,themiraclehotsauce,Yoooooooooo
72,prabhgoat7,FAT
72,itsjonasjit,W
72,balafasantone9,Pay harder
72,bouncy_bee0294,wwwwwwwwwwwww
72,yomomirl,www
72,ballsfr18,what is uuuupp
72,aknight2025,Jäger black ice
72,HolyDemotic,ur girl gettin stole
72,josvke,700 viewers HOLY FALLOFF
72,kseats,COMEBACKK
73,mysticfv3,by my charm for 700 please
73,w7rrior,FUCK THE BAG
73,ykmo16,ayayayayayaya
73,KrustySox76,"clewis76 subscribed with Prime. They've subscribed for 15 months, currently on a 15 month streak! "
73,munchytoes2,LATERE
73,Fuceli,late
73,kxwq_iwnl69,yoooo
73,ibroprufen,late
73,itsjonasjit,WW
73,dragoo230,dick
73,radz282007ii,dihhh
73,sofree2010,hi bro
74,hunger_man69,GayPride
74,bengor1145,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
74,hristijanbtw,l ads
74,kacperon120,ngeneynynynyeneygs
74,OchoSpoony,shhhhhhh
74,legandaryboi128,late fatass
74,imdezz123,LATE
74,crazyb_btw,glacier??????
74,whoislalar6,bro 👅👅👅
74,yomomirl,late
74,sd_solar_scope,fat ass do sumthing
74,srt_glyzo1,late
74,itsjonasjit,W
74,KINGvCHASE,LATE
74,savagemama2007,late
75,may304,JYNXI SAY HI MAY
75,prabhgoat7,CHUBBY
75,cailebonx1m,77
76,xDivide_x,LATE
76,kxwq_iwnl69,ooo
76,savagemama2007,7
76,pitchingstar,7
76,bouncy_bee0294,wwwwwwwwwwwwwwww
76,augustn_tv,sup chat
76,imdezz123,late
76,retro_clps,JUNKO GIFT ME BATTLEPASS PLEASEEEE
76,prabhgoat7,OBESE
76,ATKRants,4
76,cartenofmulk,Wwwww
76,thatwizer,bro likes dick
76,drdorito8013,late
76,itsjonasjit,WW
76,sxunkownnn,yayayayaha
77,fnlbobby,llll
77,kacperon120,enu
77,jamezkellyz,SHUT UP
77,xd_ninjaslayer_1,777
77,balafasantone9,Buy harder
77,yomomirl,lateeee
77,zd38,SPOIT TAKIN UR GIRL MAN
77,rkiili,Late
79,IncrediBowJay,77777777777777
79,ibroprufen,latel
79,hunger_man69,GayPride GayPride GayPride GayPride
79,nateefrr,hey jynxzi
79,sigma1309,LATE FATASS
79,kacperon120,nyemy
79,ATKRants,7
79,kaicenatsdog,7
79,JlyfeZ,late as always
79,KINGvCHASE,YOOOO
79,prabhgoat7,FATTY
79,mysticfv3,fATTY
79,lando_to_geeked,YOOOOOOOOOO
79,kseats,202444
79,OchoSpoony,shhhhhhhhh
81,HolyDemotic,lost ur girl
81,ItzDaMartian,purple
81,nateefrr,hey ling
81,brock0502,"brock0502 subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! wwwwwwwww"
81,kaiboi_00,take your shirt off your fat
81,alanaswqrld,2 adds help me
81,ehtrnll,DO CLIPS FAT
81,roidmonke,77777
81,hunger_man69,LUL LUL LUL LUL
82,louisosa123,L ads
82,gtabroooooooo,1v1 me bro bro
82,ggBLUE_,"@jynxzi whats good man. Hope you’re happy, healthy and dominating Champ lobbies <3"
82,efl_dizzy,later
82,MisZro_TJ,yup suck my nob
82,lollollol087,l ads
82,yomomirl,77
82,2fizzo4,7777
82,Nightbot,yup yup yup
82,prabhgoat7,DHHHSHH
82,shaml42,W
82,miliano2110,hala Madrid
82,tt143up,late
82,gavingoons,someone gift a real one a sub
84,ibroprufen,777777777777777
84,yomomirl,777
84,kaicenatsdog,77
85,westham_123,add fatty
85,rollercriptic,fat
85,mike412345,you’re a millionaire blowing 10k
85,greysonyex,no
85,kaicenatsdog,777
85,lollollol087,L ads
85,savedbyjesus_29,yoooooooooo
85,croflixr6,777
85,brayyman123,hi
85,ibroprufen,777777
85,ehtrnll,$
85,Kenny_XI,hey daddy
85,platformin,play fall guys ranked
85,efl_dizzy,late
85,lando_to_geeked,YOOOOOOOOOOOOOO
86,drakohound59flydat,w
86,sweziiiiii,LATE
86,SmgLoneWolf,77
86,c00p3r2011,77777
86,ffinyy55,hi
