time,username,message
2039,stevocole11,no
2046,stevocole11,😔😔😔😔😔😔
2155,stevocole11,I play madden
2157,stevocole11,you can
2176,stevocole11,I PLAY MADDEN!!!! you can do that
2178,stevocole11,yes!!!!!
2191,stevocole11,YESSSS!!!!!! that’s what the code is for!!
2216,stevocole11,not true
2223,stevocole11,that’s cap
2234,stevocole11,exactly how you did it before
2246,stevocole11,I will
2458,stevocole11,big 😔
1213,stevywonder223314,no you have to do expitition
1217,stevywonder223314,no ko
1223,stevywonder223314,not ko
1251,stevywonder223314,exhibition
1257,stevywonder223314,exbition
1261,stevywonder223314,exbhtion
1271,stevywonder223314,no exbition
1296,stevywonder223314,not right now
1352,stevywonder223314,no fat ass
1356,stevywonder223314,no fat fuck
1372,stevywonder223314,go back into it and pick expition
1411,stevywonder223314,jeeee
1426,stevywonder223314,omfg
1434,stevywonder223314,your a retard
1437,stevywonder223314,retard
1442,stevywonder223314,retad
1444,stevywonder223314,ddd
1455,stevywonder223314,trad
1456,stevywonder223314,tar
1458,stevywonder223314,jo
1478,stevywonder223314,arcade
1483,stevywonder223314,comp
819,stexigz,KSI DROPPED
2268,sticky_bat,😔😔😔😔😔😔
2278,sticky_bat,😔😔😔😔😔😔
2458,sticky_bat,😔😔😔😔😔😔
2477,sticky_bat,😔😔😔😔😔😔
2530,sticky_bat,😔😔😔😔😔😔
7822,stickyr6rs,13k cmon bro
7834,stickyr6rs,Ron got more people
8744,stickyr6rs,cap
8755,stickyr6rs,capp
8762,stickyr6rs,just wanted to end
1055,stiqsz,jynxzi is stinky
82,stirzy_,YES! STREAM INCOMING
85,stirzy_,YES! STREAM INCOMING .
86,stirzy_,"YES! STREAM INCOMING ,"
89,stirzy_,"YES! STREAM INCOMING ,."
94,stirzy_,"YES! STREAM INCOMING .,"
596,stitch2471,Lfg
