time,username,message
2016,staxx1569,😔😔😔
2018,staxx1569,😔😔😔😔😔😔
2020,staxx1569,😔😔😔😔😔😔
2022,staxx1569,😔😔😔😔😔😔
2024,staxx1569,😔😔😔😔😔😔
2082,staxx1569,😔😔😔😔😔😔
2086,staxx1569,😔
2087,staxx1569,😔😔😔😔😔😔
2090,staxx1569,😔😔😔😔😔😔
2099,staxx1569,😔😔😔😔😔😔
2106,staxx1569,😔😔😔😔😔😔
2108,staxx1569,😔😔
2112,staxx1569,😔😔😔😔😔😔
2115,staxx1569,😔😔😔😔😔😔
2116,staxx1569,😔😔😔😔😔😔
2119,staxx1569,😔😔😔😔😔😔
2121,staxx1569,😔😔😔😔😔😔
2125,staxx1569,😔😔😔😔😔😔
46,stbreesey,fatt
57,stbreesey,😔 streamer
99,stbreesey,trash music taste
111,stbreesey,😔😔😔😔😔😔
121,stbreesey,😔😔😔😔😔😔
237,stbreesey,stomping
253,stbreesey,stompin
1832,steakneggs9,steelers
7938,steakneggs9,me
6004,stealstealth,Watch game awards jynxzi
3487,steelersfan_122233,You suck
321,steeredfriend10,😔 SCRIPT
331,steeredfriend10,least obvious script
3328,stepdhardaway,ur doing too much relax
3346,stepdhardaway,ur cadence is terrible
3362,stepdhardaway,😔 cadence
3410,stepdhardaway,no rhythm 😔 cadence
4297,stephkiy69,yo junk where you bots go
4317,steve862014,do better how use
4331,steve862014,do better hi wise
4612,steve862014,selling
2623,steven_323_,🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅
97,stevenm05_,this game gonna be a DOGFIGHT
111,stevenm05_,STOP GOONING
118,stevenm05_,😔 gooner
122,stevenm05_,😔 caper
129,stevenm05_,😔 Vaper
1602,stevocole11,make the lobby private
1630,stevocole11,NFL
2012,stevocole11,yes it will
2031,stevocole11,no tournament
